      16,  -0.008793,   0.002930,   0.004883,   0.017152,   0.985473,   0.196850, 0,0,0,0
      37,  -0.009282,   0.003418,   0.005371,   0.017518,   0.983153,   0.196362, 0,0,0,0
      56,  -0.009282,   0.003418,   0.005371,   0.016786,   0.983275,   0.196606, 0,0,0,0
      66,  -0.008793,   0.003418,   0.005371,   0.016786,   0.984374,   0.194531, 0,0,0,0
      86,  -0.008793,   0.003418,   0.004883,   0.018861,   0.986571,   0.194043, 0,0,0,0
     106,  -0.008793,   0.002930,   0.004395,   0.018006,   0.984740,   0.200513, 0,0,0,0
     116,  -0.008793,   0.002930,   0.006348,   0.016297,   0.977660,   0.199292, 0,0,0,0
     136,  -0.008305,   0.002930,   0.007324,   0.016297,   0.976683,   0.197705, 0,0,0,0
     146,  -0.008793,   0.002441,   0.004883,   0.016664,   0.981566,   0.197461, 0,0,0,0
     166,  -0.008793,   0.003906,   0.003906,   0.017884,   0.986694,   0.202954, 0,0,0,0
     186,  -0.008793,   0.002930,   0.006836,   0.017762,   0.978514,   0.199536, 0,0,0,0
     196,  -0.009282,   0.004395,   0.005859,   0.018617,   0.979613,   0.198437, 0,0,0,0
     207,  -0.008793,   0.004395,   0.003906,   0.017518,   0.981078,   0.192089, 0,0,0,0
     226,  -0.009282,   0.003418,   0.003418,   0.016541,   0.982665,   0.197339, 0,0,0,0
     256,  -0.008793,   0.002930,   0.004883,   0.016297,   0.985595,   0.193554, 0,0,0,0
     286,  -0.008305,   0.002930,   0.004395,   0.018129,   0.978881,   0.200269, 0,0,0,0
     306,  -0.008793,   0.001953,   0.006348,   0.017030,   0.981444,   0.197461, 0,0,0,0
     316,  -0.009282,   0.003418,   0.005371,   0.016297,   0.979003,   0.199902, 0,0,0,0
     326,  -0.009282,   0.002930,   0.003418,   0.017640,   0.989623,   0.203076, 0,0,0,0
     346,  -0.008793,   0.004395,   0.006348,   0.015321,   0.987426,   0.196118, 0,0,0,0
     356,  -0.008305,   0.002930,   0.005859,   0.015565,   0.980345,   0.201123, 0,0,0,0
     376,  -0.007328,   0.003418,   0.004395,   0.018739,   0.980712,   0.194409, 0,0,0,0
