gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.29378,-2.844717,0.766099,-0.511685,-2.824051,0.490666,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.406458,-2.004944,1.073491,-0.286778,-2.836319,0.769173,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.750595,-1.27675,0.970945,0.409899,-1.997662,1.072466,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
1.028566,-0.320393,0.721174,0.753375,-1.267186,0.968447,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
1.179454,0.567967,0.730208,1.030075,-0.311509,0.721264,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
1.127205,0.890008,0.826405,1.178932,0.571187,0.73117,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
1.028444,1.132088,0.985595,1.126217,0.892429,0.827997,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.975829,1.878227,1.432155,1.027918,1.139549,0.990061,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.919307,2.728743,1.482818,0.975264,1.886732,1.432662,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.776109,4.000183,1.335714,0.917875,2.741457,1.481347,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.643777,4.000183,1.243545,0.774786,4.000183,1.334792,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.519502,3.793262,0.810779,0.642534,3.998114,1.239217,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.537325,3.343283,0.550998,0.51968,3.788762,0.808181,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.537569,2.335042,0.332601,0.537327,3.333201,0.548814,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.483367,1.929134,0.313679,0.537027,2.330983,0.332412,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.322346,1.644937,0.459684,0.481757,1.926292,0.315139,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.271562,1.563877,0.557102,0.321838,1.644126,0.460658,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.21504,1.398828,0.592016,0.270997,1.562227,0.557451,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.182567,1.035036,0.55466,0.214715,1.39519,0.591642,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.150827,0.761338,0.576878,0.18225,1.032299,0.554882,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.134713,0.463712,0.598364,0.150666,0.758362,0.577093,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.096991,0.206495,0.555759,0.134336,0.46114,0.597938,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.016175,-0.212598,0.404505,0.095859,0.202304,0.554246,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.107734,-0.442105,0.254105,-0.017091,-0.214893,0.403001,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.155832,-0.787585,0.105414,-0.108215,-0.44556,0.252618,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.198315,-1.009278,-0.049625,-0.156257,-0.789802,0.103864,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.231276,-1.211317,-0.203687,-0.198645,-1.011298,-0.051166,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.270463,-1.53116,-0.319661,-0.231668,-1.214515,-0.204847,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.3055,-1.660197,-0.287066,-0.270813,-1.53245,-0.319335,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.389001,-1.976378,0.110786,-0.306335,-1.663359,-0.283087,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.347616,-1.981871,0.265946,-0.388587,-1.976433,0.112338,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.174388,-1.822072,0.34078,-0.345884,-1.980273,0.266694,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.274126,-1.255631,0.283892,-0.169903,-1.816408,0.340211,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.443325,-0.891595,0.259965,0.275818,-1.251991,0.283653,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.504608,-0.708967,0.27144,0.443938,-0.889769,0.26008,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.553562,-0.294757,0.405237,0.505098,-0.704825,0.272778,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.512666,0.167552,0.829335,0.553153,-0.290134,0.409478,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.401819,0.608008,1.292742,0.511558,0.171957,0.833969,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.369835,1.527498,1.6851,0.401499,0.617203,1.296666,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.36251,1.952085,1.721113,0.369762,1.531744,1.68546,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
