gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.018129,0.99353,0.229934,-0.018593,0.997937,0.229469,0,-0.018617,0.998169,0,0.229934,0
-0.020082,0.994506,0.227736,-0.018227,0.993579,0.229824,0,-0.020082,0.998169,0,0.229934,0
-0.024477,0.995239,0.231398,-0.020302,0.994543,0.227919,0,-0.024477,0.998169,0,0.231398,0
-0.022035,0.990112,0.232131,-0.024355,0.994983,0.231435,0,-0.024477,0.998169,0,0.232131,0
-0.021181,0.992797,0.2303,-0.021992,0.990246,0.232039,0,-0.024477,0.998169,0,0.232131,0
-0.020326,0.990844,0.232863,-0.021138,0.992699,0.230428,0,-0.024477,0.998169,0,0.232863,0
-0.019838,0.987426,0.231887,-0.020302,0.990673,0.232814,0,-0.024477,0.998169,0,0.232863,0
-0.021547,0.990844,0.229201,-0.019923,0.987597,0.231753,0,-0.024477,0.998169,0,0.232863,0
-0.025453,0.990844,0.228957,-0.021742,0.990844,0.229189,0,-0.025453,0.998169,0,0.232863,0
-0.024232,0.991821,0.232375,-0.025392,0.990893,0.229128,0,-0.025453,0.998169,0,0.232863,0
-0.020814,0.99353,0.229689,-0.024061,0.991906,0.232241,0,-0.025453,0.998169,0,0.232863,0
-0.0235,0.991699,0.230666,-0.020948,0.993438,0.229738,0,-0.025453,0.998169,0,0.232863,0
-0.019593,0.992553,0.232131,-0.023305,0.991742,0.230739,0,-0.025453,0.998169,0,0.232863,0
-0.019593,0.994995,0.231643,-0.019593,0.992675,0.232107,0,-0.025453,0.998169,0,0.232863,0
-0.023256,0.992065,0.227492,-0.019776,0.994848,0.231435,0,-0.025453,0.998169,0,0.232863,0
-0.019838,0.993042,0.229201,-0.023085,0.992114,0.227577,0,-0.025453,0.998169,0,0.232863,0
-0.022279,0.991333,0.231398,-0.01996,0.992957,0.229311,0,-0.025453,0.998169,0,0.232863,0
-0.017884,0.989868,0.226882,-0.022059,0.99126,0.231172,0,-0.025453,0.998169,0,0.232863,0
-0.022401,0.991699,0.231154,-0.01811,0.98996,0.227096,0,-0.025453,0.998169,0,0.232863,0
-0.023012,0.994873,0.228957,-0.022432,0.991858,0.231044,0,-0.025453,0.998169,0,0.232863,0
