gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.038882,3.459989,2.332601,0.21371,2.48662,2.157944,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.181713,4.000183,2.467863,-0.046024,3.486999,2.339364,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.367027,3.675334,1.672404,-0.190979,3.983941,2.42809,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.379235,2.491912,1.341573,-0.367637,3.616163,1.655862,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.623512,1.167125,1.538851,-0.391449,2.425673,1.351437,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.011414,2.687969,0.698224,-0.591766,1.243167,1.49682,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.202588,2.840811,0.093939,0.020973,2.695611,0.66801,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.416957,2.618385,-0.046695,0.213306,2.82969,0.086907,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.51999,2.279985,0.057804,0.422109,2.601465,-0.04147,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.587743,1.657633,0.354575,0.523378,2.248867,0.072643,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.481414,1.32314,0.570775,0.582427,1.640908,0.365385,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.293658,1.077031,0.833242,0.472026,1.310835,0.583898,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.140939,0.806873,1.057255,0.286022,1.063523,0.844443,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.0047,0.3995,0.933834,0.133657,0.786504,1.051084,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.297687,-1.015382,0.661845,-0.019349,0.328756,0.920235,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.618995,-2.684673,-0.150461,-0.313752,-1.098847,0.62123,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.678569,-3.333883,-1.177135,-0.621974,-2.717134,-0.201795,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
-0.472258,-3.193249,-0.514863,-0.668253,-3.326851,-1.144021,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.244827,-2.12751,1.696576,-0.436404,-3.139962,-0.404291,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.48825,-1.465116,2.281084,0.256998,-2.09439,1.725801,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.72386,0.47885,2.947629,0.500031,-1.367918,2.314411,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
