gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.023256,0.995239,0.228224,-0.022772,0.993306,0.231125,0,-0.023256,0.995239,0,0.231154,0
-0.019838,0.985717,0.227492,-0.023222,0.995144,0.228217,0,-0.023256,0.995239,0,0.231154,0
-0.020936,0.999512,0.231643,-0.019849,0.985855,0.227534,0,-0.023256,0.999512,0,0.231643,0
-0.021058,0.991577,0.228224,-0.020937,0.999433,0.231609,0,-0.023256,0.999512,0,0.231643,0
-0.025209,0.994506,0.22798,-0.0211,0.991606,0.228222,0,-0.025209,0.999512,0,0.231643,0
-0.022157,0.990844,0.230666,-0.025178,0.994469,0.228007,0,-0.025209,0.999512,0,0.231643,0
-0.021303,0.991455,0.231154,-0.022148,0.99085,0.230671,0,-0.025209,0.999512,0,0.231643,0
-0.023012,0.992675,0.229934,-0.02132,0.991467,0.231142,0,-0.025209,0.999512,0,0.231643,0
-0.023012,0.98767,0.228713,-0.023012,0.992625,0.229922,0,-0.025209,0.999512,0,0.231643,0
-0.024721,0.992065,0.232375,-0.023029,0.987714,0.22875,0,-0.025209,0.999512,0,0.232375,0
-0.022767,0.99646,0.22798,-0.024701,0.992109,0.232331,0,-0.025209,0.999512,0,0.232375,0
-0.025209,0.993774,0.231643,-0.022791,0.996433,0.228017,0,-0.025209,0.999512,0,0.232375,0
-0.026674,0.992797,0.23091,-0.025224,0.993764,0.231636,0,-0.026674,0.999512,0,0.232375,0
-0.021181,0.990966,0.232619,-0.026619,0.992779,0.230927,0,-0.026674,0.999512,0,0.232619,0
-0.020082,0.990112,0.231154,-0.02117,0.990957,0.232604,0,-0.026674,0.999512,0,0.232619,0
-0.022035,0.989868,0.228713,-0.020102,0.99011,0.23113,0,-0.026674,0.999512,0,0.232619,0
-0.023744,0.989135,0.227248,-0.022052,0.989861,0.228698,0,-0.026674,0.999512,0,0.232619,0
-0.020814,0.994018,0.233596,-0.023715,0.989184,0.227311,0,-0.026674,0.999512,0,0.233596,0
-0.0235,0.994506,0.227492,-0.020841,0.994023,0.233535,0,-0.026674,0.999512,0,0.233596,0
-0.01764,0.992797,0.228957,-0.023441,0.994489,0.227507,0,-0.026674,0.999512,0,0.233596,0
-0.022523,0.992065,0.229201,-0.017689,0.99279,0.228959,0,-0.026674,0.999512,0,0.233596,0
-0.022767,0.991333,0.228713,-0.022525,0.992058,0.229196,0,-0.026674,0.999512,0,0.233596,0
-0.022523,0.991333,0.226759,-0.022765,0.991333,0.228693,0,-0.026674,0.999512,0,0.233596,0
-0.02057,0.988891,0.228713,-0.022503,0.991309,0.226779,0,-0.026674,0.999512,0,0.233596,0
-0.021058,0.991333,0.228713,-0.020575,0.988915,0.228713,0,-0.026674,0.999512,0,0.233596,0
-0.02057,0.993042,0.228224,-0.021053,0.99135,0.228708,0,-0.026674,0.999512,0,0.233596,0
-0.021303,0.994751,0.229689,-0.020577,0.993059,0.228239,0,-0.026674,0.999512,0,0.233596,0
-0.018373,0.992065,0.232375,-0.021274,0.994724,0.229716,0,-0.026674,0.999512,0,0.233596,0
-0.019349,0.99353,0.230666,-0.018383,0.99208,0.232358,0,-0.026674,0.999512,0,0.233596,0
-0.022523,0.992065,0.228102,-0.019381,0.993515,0.23064,0,-0.026674,0.999512,0,0.233596,0
-0.0235,0.991088,0.227004,-0.022533,0.992055,0.228091,0,-0.026674,0.999512,0,0.233596,0
-0.0235,0.994262,0.234328,-0.0235,0.99112,0.227077,0,-0.026674,0.999512,0,0.234328,0
-0.022035,0.992309,0.231398,-0.023485,0.994242,0.234299,0,-0.026674,0.999512,0,0.234328,0
-0.025453,0.993042,0.230422,-0.022069,0.992316,0.231388,0,-0.026674,0.999512,0,0.234328,0
-0.021791,0.994018,0.230544,-0.025416,0.993052,0.230423,0,-0.026674,0.999512,0,0.234328,0
-0.0235,0.991455,0.229201,-0.021808,0.993992,0.230531,0,-0.026674,0.999512,0,0.234328,0
-0.020082,0.994018,0.230422,-0.023466,0.991481,0.229213,0,-0.026674,0.999512,0,0.234328,0
-0.020814,0.992065,0.231154,-0.020089,0.993998,0.230429,0,-0.026674,0.999512,0,0.234328,0
-0.020082,0.991088,0.225905,-0.020807,0.992055,0.231102,0,-0.026674,0.999512,0,0.234328,0
-0.018617,0.988891,0.230666,-0.020067,0.991066,0.225953,0,-0.026674,0.999512,0,0.234328,0
-0.022035,0.989868,0.228469,-0.018651,0.988901,0.230644,0,-0.026674,0.999512,0,0.234328,0
-0.02057,0.992065,0.22798,-0.02202,0.98989,0.228464,0,-0.026674,0.999512,0,0.234328,0
-0.019593,0.991333,0.229201,-0.02056,0.992058,0.227992,0,-0.026674,0.999512,0,0.234328,0
-0.023378,0.992187,0.228591,-0.019631,0.991342,0.229195,0,-0.026674,0.999512,0,0.234328,0
-0.024965,0.986449,0.229934,-0.023394,0.99213,0.228604,0,-0.026674,0.999512,0,0.234328,0
-0.018373,0.989379,0.230422,-0.024899,0.986478,0.229939,0,-0.026674,0.999512,0,0.234328,0
-0.022035,0.988158,0.23091,-0.01841,0.989367,0.230427,0,-0.026674,0.999512,0,0.234328,0
-0.019105,0.993042,0.230666,-0.022006,0.988207,0.230908,0,-0.026674,0.999512,0,0.234328,0
-0.0235,0.991577,0.229201,-0.019149,0.993027,0.230651,0,-0.026674,0.999512,0,0.234328,0
-0.019593,0.991088,0.230178,-0.023461,0.991572,0.229211,0,-0.026674,0.999512,0,0.234328,0
-0.023988,0.99121,0.231887,-0.019637,0.991089,0.230195,0,-0.026674,0.999512,0,0.234328,0
-0.021669,0.989623,0.229201,-0.023965,0.991194,0.23186,0,-0.026674,0.999512,0,0.234328,0
-0.023744,0.9906,0.231154,-0.02169,0.989633,0.229221,0,-0.026674,0.999512,0,0.234328,0
-0.02057,0.990844,0.230666,-0.023712,0.990602,0.231149,0,-0.026674,0.999512,0,0.234328,0
-0.01996,0.99121,0.231032,-0.020564,0.990848,0.23067,0,-0.026674,0.999512,0,0.234328,0
-0.023134,0.990112,0.228835,-0.019992,0.991199,0.23101,0,-0.026674,0.999512,0,0.234328,0
-0.02057,0.9906,0.228957,-0.023108,0.990117,0.228836,0,-0.026674,0.999512,0,0.234328,0
-0.021058,0.991333,0.232375,-0.020575,0.990607,0.228991,0,-0.026674,0.999512,0,0.234328,0
-0.021547,0.994995,0.230422,-0.021063,0.99137,0.232355,0,-0.026674,0.999512,0,0.234328,0
-0.020814,0.992065,0.229323,-0.02154,0.994966,0.230411,0,-0.026674,0.999512,0,0.234328,0
-0.020326,0.993774,0.227858,-0.020809,0.992082,0.229308,0,-0.026674,0.999512,0,0.234328,0
-0.020326,0.990722,0.229323,-0.020326,0.993743,0.227873,0,-0.026674,0.999512,0,0.234328,0
-0.024843,0.99353,0.228346,-0.020371,0.99075,0.229313,0,-0.026674,0.999512,0,0.234328,0
-0.023134,0.992797,0.230544,-0.024826,0.993523,0.228368,0,-0.026674,0.999512,0,0.234328,0
-0.022767,0.991333,0.229323,-0.02313,0.992782,0.230532,0,-0.026674,0.999512,0,0.234328,0
-0.024721,0.993042,0.230056,-0.022787,0.99135,0.22933,0,-0.026674,0.999512,0,0.234328,0
-0.023744,0.990356,0.229689,-0.024711,0.993015,0.230052,0,-0.026674,0.999512,0,0.234328,0
-0.023744,0.991821,0.234817,-0.023744,0.990371,0.22974,0,-0.026674,0.999512,0,0.234817,0
-0.021669,0.993408,0.230178,-0.023723,0.991837,0.234771,0,-0.026674,0.999512,0,0.234817,0
-0.022523,0.992797,0.23091,-0.021678,0.993402,0.230185,0,-0.026674,0.999512,0,0.234817,0
-0.019349,0.993286,0.226759,-0.022491,0.992802,0.230868,0,-0.026674,0.999512,0,0.234817,0
-0.022523,0.992309,0.230666,-0.019381,0.993276,0.226798,0,-0.026674,0.999512,0,0.234817,0
-0.021791,0.99646,0.233107,-0.022516,0.992351,0.23069,0,-0.026674,0.999512,0,0.234817,0
-0.021669,0.997803,0.230422,-0.02179,0.996473,0.23308,0,-0.026674,0.999512,0,0.234817,0
-0.014955,0.9906,0.230178,-0.021602,0.997731,0.23042,0,-0.026674,0.999512,0,0.234817,0
-0.022279,0.996216,0.230056,-0.015028,0.990656,0.230177,0,-0.026674,0.999512,0,0.234817,0
-0.023378,0.993164,0.227858,-0.02229,0.996185,0.230034,0,-0.026674,0.999512,0,0.234817,0
-0.0235,1.000122,0.228957,-0.023379,0.993234,0.227869,0,-0.026674,1.000122,0,0.234817,0
-0.022645,0.989379,0.231276,-0.023491,1.000015,0.22898,0,-0.026674,1.000122,0,0.234817,0
-0.021058,0.992309,0.227004,-0.022629,0.989408,0.231233,0,-0.026674,1.000122,0,0.234817,0
-0.018373,0.997436,0.231154,-0.021031,0.99236,0.227046,0,-0.026674,1.000122,0,0.234817,0
-0.023988,0.990722,0.229201,-0.018429,0.997369,0.231134,0,-0.026674,1.000122,0,0.234817,0
-0.020936,0.992553,0.231032,-0.023957,0.99074,0.229219,0,-0.026674,1.000122,0,0.234817,0
-0.019105,0.988403,0.233107,-0.020918,0.992512,0.231053,0,-0.026674,1.000122,0,0.234817,0
-0.024721,0.992797,0.227248,-0.019161,0.988447,0.233048,0,-0.026674,1.000122,0,0.234817,0
-0.025087,0.995239,0.229567,-0.024725,0.992821,0.227271,0,-0.026674,1.000122,0,0.234817,0
-0.021791,0.992309,0.228957,-0.025054,0.99521,0.229561,0,-0.026674,1.000122,0,0.234817,0
-0.024477,0.990112,0.231398,-0.021818,0.992287,0.228981,0,-0.026674,1.000122,0,0.234817,0
-0.022157,0.989013,0.229201,-0.024454,0.990101,0.231376,0,-0.026674,1.000122,0,0.234817,0
-0.021058,0.989135,0.228469,-0.022146,0.989014,0.229194,0,-0.026674,1.000122,0,0.234817,0
-0.018861,0.991577,0.227736,-0.021036,0.989159,0.228462,0,-0.026674,1.000122,0,0.234817,0
-0.023866,0.9906,0.230788,-0.018911,0.991567,0.227767,0,-0.026674,1.000122,0,0.234817,0
-0.023866,0.993042,0.230422,-0.023866,0.990624,0.230784,0,-0.026674,1.000122,0,0.234817,0
-0.023012,0.993286,0.227736,-0.023857,0.993044,0.230395,0,-0.026674,1.000122,0,0.234817,0
-0.026918,0.991333,0.231398,-0.023051,0.993266,0.227773,0,-0.026918,1.000122,0,0.234817,0
-0.020082,0.991943,0.23091,-0.02685,0.991339,0.231393,0,-0.026918,1.000122,0,0.234817,0
-0.025209,0.991088,0.229201,-0.020133,0.991934,0.230893,0,-0.026918,1.000122,0,0.234817,0
-0.021547,0.991333,0.22798,-0.025172,0.99109,0.229189,0,-0.026918,1.000122,0,0.234817,0
-0.023256,0.990844,0.227004,-0.021564,0.991328,0.22797,0,-0.026918,1.000122,0,0.234817,0
-0.0235,0.993774,0.233352,-0.023258,0.990873,0.227067,0,-0.026918,1.000122,0,0.234817,0
-0.019593,0.995361,0.23091,-0.023461,0.99379,0.233328,0,-0.026918,1.000122,0,0.234817,0
-0.021913,0.993164,0.229079,-0.019616,0.995339,0.230892,0,-0.026918,1.000122,0,0.234817,0
-0.020082,0.989868,0.227736,-0.021895,0.993131,0.229066,0,-0.026918,1.000122,0,0.234817,0
-0.022279,0.992553,0.228224,-0.020104,0.989895,0.227741,0,-0.026918,1.000122,0,0.234817,0
-0.019349,0.991088,0.227736,-0.02225,0.992538,0.228219,0,-0.026918,1.000122,0,0.234817,0
-0.019105,0.997436,0.229934,-0.019347,0.991151,0.227758,0,-0.026918,1.000122,0,0.234817,0
-0.022035,0.991821,0.23091,-0.019134,0.99738,0.229944,0,-0.026918,1.000122,0,0.234817,0
-0.022645,0.994262,0.228713,-0.022041,0.991845,0.230888,0,-0.026918,1.000122,0,0.234817,0
-0.021547,0.993774,0.23091,-0.022634,0.994257,0.228735,0,-0.026918,1.000122,0,0.234817,0
-0.022279,0.994629,0.229934,-0.021554,0.993783,0.2309,0,-0.026918,1.000122,0,0.234817,0
