gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
0.605201,-0.769517,-0.208204,0.442043,-0.923489,-0.360241,0.605201,0,0,-0.925044,0,-0.361777
0.849966,-0.434414,0.132027,0.607649,-0.766166,-0.204802,0.849966,0,0,-0.925044,0.132027,-0.361777
0.931392,-0.054019,0.437466,0.85078,-0.43061,0.135081,0.931392,0,0,-0.925044,0.437466,-0.361777
0.825429,0.395593,0.675029,0.930332,-0.049523,0.439842,0.931392,0,0.395593,-0.925044,0.675029,-0.361777
0.328816,1.44595,1.331075,0.820463,0.406097,0.681589,0.931392,0,1.44595,-0.925044,1.331075,-0.361777
-0.137032,2.216993,1.999329,0.324158,1.45366,1.337758,0.931392,-0.137032,2.216993,-0.925044,1.999329,-0.361777
-0.971312,3.054935,2.405115,-0.145375,2.225372,2.003387,0.931392,-0.971312,3.054935,-0.925044,2.405115,-0.361777
-0.746689,3.510773,2.782335,-0.969066,3.059493,2.408887,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.295489,2.837392,2.241043,-0.742177,3.504039,2.776922,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.61106,1.878105,0.828481,-0.298645,2.827799,2.226917,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.854361,1.094,0.684551,-0.613493,1.870264,0.827042,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.891961,0.278154,0.957029,-0.854737,1.085842,0.687276,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.735946,0.601904,1.163828,-0.890401,0.281392,0.959097,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.639749,0.849478,1.198987,-0.734984,0.60438,1.16418,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.61399,0.91186,1.193493,-0.639491,0.850102,1.198932,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
-0.080877,1.776048,0.266801,-0.608659,0.920502,1.184226,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
0.104437,1.912409,-0.311848,-0.079024,1.777412,0.261015,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.361777
0.208692,1.676921,-0.46298,0.10548,1.910054,-0.313359,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.46298
0.346274,1.105109,-0.531099,0.210068,1.671203,-0.463661,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.531099
0.398889,0.764756,-0.701276,0.3468,1.101705,-0.532801,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
0.246292,0.855582,0.053409,0.397363,0.765664,-0.693729,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
0.082952,0.785021,0.218946,0.244659,0.854876,0.055064,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
0.013856,0.62339,0.218946,0.082261,0.783405,0.218946,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
-0.011048,0.442715,0.18623,0.013607,0.621583,0.218619,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
-0.032534,-0.442593,0.065861,-0.011263,0.433862,0.185026,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
-0.087469,-0.870109,0.09931,-0.033083,-0.446868,0.066195,0.931392,-0.971312,3.510773,-0.925044,2.782335,-0.701276
-0.345053,-1.878227,0.140084,-0.090045,-0.88019,0.099718,0.931392,-0.971312,3.510773,-1.878227,2.782335,-0.701276
-0.512788,-2.416102,0.060734,-0.34673,-1.883606,0.13929,0.931392,-0.971312,3.510773,-2.416102,2.782335,-0.701276
-0.634133,-2.759873,-0.226882,-0.514001,-2.41954,0.057858,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.576268,-2.674418,-0.636575,-0.633554,-2.759018,-0.230979,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.234572,-2.049502,-0.574437,-0.572851,-2.668169,-0.635954,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.009217,-1.307148,-0.509614,-0.232134,-2.042078,-0.573789,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.025819,-1.193127,-0.50644,0.009383,-1.306008,-0.509582,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.028261,-1.178478,-0.468596,0.025843,-1.192981,-0.506062,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.122017,-1.084966,-0.099188,0.029199,-1.177543,-0.464902,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.172557,-0.944577,0.206006,0.122522,-1.083562,-0.096136,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.344076,-0.251053,0.712751,0.174272,-0.937642,0.211073,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.213819,0.28377,1.01294,0.342773,-0.245705,0.715753,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.049014,0.587988,1.17506,0.212171,0.286812,1.014561,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.221266,1.275774,1.584753,0.046311,0.594866,1.179157,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.199048,2.283892,2.245437,-0.221044,1.285855,1.59136,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.016297,2.905024,1.680461,-0.196895,2.290103,2.239787,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.009095,2.8684,1.292254,0.016043,2.904658,1.676579,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.005799,2.769639,0.999146,-0.008946,2.867412,1.289323,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.006287,2.68211,0.731673,0.005804,2.768764,0.996471,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.094793,2.339071,0.10224,0.005276,2.67868,0.725379,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.275468,1.945004,-0.257157,-0.0966,2.33513,0.098646,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.154856,1.745529,0.283159,-0.274262,1.943009,-0.251754,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.008973,1.977232,0.219679,-0.153218,1.747846,0.282524,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.188427,2.184765,-0.094305,0.010768,1.979307,0.216539,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.743026,1.8449,-0.698346,0.193973,2.181366,-0.100345,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.798816,1.373436,-0.500824,0.743584,1.840185,-0.696371,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.740951,1.396142,-0.067692,0.798237,1.373663,-0.496493,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.440762,1.571324,0.48886,0.737949,1.397894,-0.062126,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.273393,1.394433,0.382042,0.439088,1.569555,0.487792,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.259965,1.369529,0.347372,0.273259,1.394184,0.381695,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.223585,1.000366,0.24971,0.259601,1.365837,0.346395,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.189404,-1.001953,0.177684,0.223243,0.980343,0.24899,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.007752,-1.590978,0.218092,0.187587,-1.007843,0.178088,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.290606,-2.169993,0.265092,0.004768,-1.596768,0.218562,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.543429,-2.522066,0.247269,-0.293134,-2.173514,0.264914,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.622658,-2.431972,0.27437,-0.544221,-2.521165,0.24754,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
-0.586523,-2.204175,0.299518,-0.622297,-2.429694,0.274621,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.031191,-1.010499,-0.498871,-0.580346,-2.192238,0.291534,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.701276
0.23091,-1.204358,-0.913203,0.033188,-1.012438,-0.503014,0.931392,-0.971312,3.510773,-2.759873,2.782335,-0.913203
0.231887,-1.291033,-1.014161,0.23092,-1.205225,-0.914213,0.931392,-0.971312,3.510773,-2.759873,2.782335,-1.014161
