gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.250809,-1.658243,-0.544772,-0.191198,-1.404492,-0.357822,0,-0.250809,0,-1.658243,0,-0.544772
-0.266191,-1.851859,-0.663187,-0.251578,-1.667924,-0.550693,0,-0.266191,0,-1.851859,0,-0.663187
-0.176585,-2.044009,-0.756211,-0.261711,-1.861466,-0.667838,0,-0.266191,0,-2.044009,0,-0.756211
-0.119697,-2.069645,-0.679058,-0.173741,-2.045291,-0.752353,0,-0.266191,0,-2.069645,0,-0.756211
-0.034243,-1.979796,-0.525972,-0.115424,-2.065153,-0.671404,0,-0.266191,0,-2.069645,0,-0.756211
0.046817,-1.826955,-0.45004,-0.03019,-1.972154,-0.522175,0.046817,-0.266191,0,-2.069645,0,-0.756211
0.056339,-1.798144,-0.436123,0.047293,-1.825514,-0.449344,0.056339,-0.266191,0,-2.069645,0,-0.756211
0.26265,-1.296405,-0.207349,0.066655,-1.773057,-0.424684,0.26265,-0.266191,0,-2.069645,0,-0.756211
0.480925,-0.697125,0.111884,0.273564,-1.266441,-0.191387,0.480925,-0.266191,0,-2.069645,0.111884,-0.756211
0.555149,-0.457364,0.287554,0.484636,-0.685137,0.120668,0.555149,-0.266191,0,-2.069645,0.287554,-0.756211
0.678691,0.071843,0.834218,0.561326,-0.430904,0.314887,0.678691,-0.266191,0.071843,-2.069645,0.834218,-0.756211
0.763169,0.411585,1.100592,0.682915,0.08883,0.847537,0.763169,-0.266191,0.411585,-2.069645,1.100592,-0.756211
1.007569,3.581822,1.817555,0.775389,0.570097,1.13644,1.007569,-0.266191,3.581822,-2.069645,1.817555,-0.756211
1.05054,4.000183,1.70683,1.009718,3.60274,1.812019,1.05054,-0.266191,4.000183,-2.069645,1.817555,-0.756211
1.091558,4.000183,1.65336,1.052591,4.000183,1.704156,1.091558,-0.266191,4.000183,-2.069645,1.817555,-0.756211
1.038943,4.000183,1.784838,1.088927,4.000183,1.659934,1.091558,-0.266191,4.000183,-2.069645,1.817555,-0.756211
0.955564,4.000183,1.824513,1.034774,4.000183,1.786822,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.94653,3.811573,1.473418,0.955112,3.990752,1.806958,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.914546,3.442044,1.263077,0.944931,3.793097,1.462901,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.859122,2.775377,1.055667,0.911775,3.408711,1.252706,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.791735,2.154978,0.91186,0.855753,2.744357,1.048477,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.749496,1.880913,0.870109,0.789623,2.141275,0.909772,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.6334,1.118171,0.861564,0.743691,1.842776,0.869682,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.542941,0.714704,0.888177,0.628877,1.097998,0.862895,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.34371,0.184887,0.872551,0.532979,0.688213,0.887396,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.197705,-0.337484,0.662455,0.33641,0.158768,0.862046,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
0.038149,-0.612037,0.392419,0.189727,-0.351212,0.648953,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
-0.085515,-1.110847,0.057315,0.031966,-0.636978,0.375664,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
-0.21858,-1.366111,-0.169993,-0.092168,-1.12361,0.04595,1.091558,-0.266191,4.000183,-2.069645,1.824513,-0.756211
-0.280596,-1.513215,-0.287676,-0.221681,-1.373466,-0.175877,1.091558,-0.280596,4.000183,-2.069645,1.824513,-0.756211
-0.327474,-1.651285,-0.330403,-0.28294,-1.520118,-0.289812,1.091558,-0.327474,4.000183,-2.069645,1.824513,-0.756211
-0.261552,-1.917048,-0.219801,-0.324178,-1.664573,-0.324873,1.091558,-0.327474,4.000183,-2.069645,1.824513,-0.756211
-0.185619,-2.041811,-0.060367,-0.257755,-1.923286,-0.211829,1.091558,-0.327474,4.000183,-2.069645,1.824513,-0.756211
0.159739,-1.843069,0.121895,-0.168351,-2.031874,-0.051254,1.091558,-0.327474,4.000183,-2.069645,1.824513,-0.756211
0.29317,-1.672893,0.12983,0.166411,-1.83456,0.122292,1.091558,-0.327474,4.000183,-2.069645,1.824513,-0.756211
0.57224,-0.954587,0.142282,0.307123,-1.636978,0.130453,1.091558,-0.327474,4.000183,-2.069645,1.824513,-0.756211
